Название,Телефон,Сайт,Адрес,Город,Рейтинг,Кол-во отзывов,Категории,Часы работы,Ссылки для записи,Запрос
Фабрика Здоровья,+7 383 363-50-51,https://fabrika-crasoty.ru/,"ул. Орджоникидзе, 38, БЦ Партнёр, Новосибирск, Новосибирская обл., Россия, 630099",Новосибирск,4.6,436,"Салон красоты, Косметологическая клиника, Спортивный зал, Депиляция, Массажист, Медицинский центр, Медицинская клиника, Маникюр и педикюр, Спа-салон, Солярий",четверг: 08:00–21:00 | пятница: 08:00–21:00 | суббота: 10:00–20:00 | воскресенье: 10:00–20:00 | понедельник: 08:00–21:00 | вторник: 08:00–21:00 | среда: 08:00–21:00,https://yc.gl/book/121825/?rwg_token=AFd1xnEKH0agPG-iFxHLXmx3rNy2wJ9jMQX0LGTYtR9e6GsrtfKn_c_HtVOxSQpaE1C-Wmr8xdfEX_DodWMeLNgeoMIyvwkHLQ%3D%3D,салоны красоты Новосибирск
Беллезза,+7 913 909-39-82,https://max.ru/u/f9LHodD0cOLc-yqxh-ttfx666cPAYjO6mqVAZFhHLBxiyfZi1j9GcRuhVLE%20,"ул. Гоголя, 38, Новосибирск, Новосибирская обл., Россия, 630005",Новосибирск,4.9,51,"Салон красоты, Солярий, Депиляция, Визажист, Массажист, Маникюр и педикюр, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://www.instagram.com/studio_bellezza/ https://yc.gl/book/666859/?rwg_token=AFd1xnFVGfHVgKWztWVEdBPVfOmMdupCOGChzjIKV1eEmrDv7ChbS52rardmMWCSdgAZZA4vlHFMauPkouOcQR3hubqTVNaViFM9ciQwyOqwD-0syS0kAvQ%3D,салоны красоты Новосибирск
Салон красоты Amber,+7 983 310-14-46,https://www.instagram.com/amber_salon/,"ул. Фрунзе, 226/1, Новосибирск, Новосибирская обл., Россия, 630112",Новосибирск,4.6,69,"Салон красоты, Мужская парикмахерская, Наращивание волос, Депиляция, Массажист, Маникюр и педикюр, Парикмахер, Восковая депиляция",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Новосибирск
NiMark,+7 383 213-88-18,https://www.nimark.ru/,"ул. Краузе, 21, Новосибирск, Новосибирская обл., Россия, 630061",Новосибирск,4.7,72,"Салон красоты, Спа-салон, Массажист, Маникюр и педикюр, Косметологическая клиника, Солярий, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Новосибирск
Saxap,+7 383 248-40-56,https://xn--j1afm.xn--80aaa6bkfrbe5b.xn--p1ai/,"пл. Карла Маркса, 3, Новосибирск, Новосибирская обл., Россия, 630078",Новосибирск,4.6,430,"Салон красоты, Депиляция, Маникюр и педикюр, Косметологическая клиника",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://n292760.yclients.com/,салоны красоты Новосибирск
Имидж студия Александра Смолкина,+7 913 373-70-07,http://studio-smolkin.ru/,"Комсомольский пр., 8, цокольный этаж, Новосибирск, Новосибирская обл., Россия, 630004",Новосибирск,4.7,76,"Салон красоты, Мужская парикмахерская, Наращивание волос, Визажист, Маникюр и педикюр, Окрашивание, Парикмахер",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,,салоны красоты Новосибирск
"NABS, салон красоты",+7 383 248-32-78,http://novosibirsk.nabsnail.com/,"ул. Орджоникидзе, 27, Новосибирск, Новосибирская обл., Россия, 630099",Новосибирск,4.5,172,"Салон красоты, Маникюр и педикюр",четверг: 24 часа в сутки | пятница: 24 часа в сутки | суббота: 24 часа в сутки | воскресенье: 24 часа в сутки | понедельник: 24 часа в сутки | вторник: 24 часа в сутки | среда: 24 часа в сутки,https://yc.gl/book/138646/?rwg_token=AFd1xnGrSPKwSd-3jBHDqhNDb8Xo6OOdMCJcUL4sP-2j41IWeEOguycwd7Dhm6-HoZ6xH6HV2aJIDTKa0sl8mJsI7SBt1OAwKtnkm-fLkag5RChorn94ZFs%3D,салоны красоты Новосибирск
Saxap,+7 383 248-40-56,https://xn--j1afm.xn--80aaa6bkfrbe5b.xn--p1ai/,"Красный пр-т., 57, Новосибирск, Новосибирская обл., Россия, 630091",Новосибирск,4.5,168,"Салон красоты, Депиляция, Маникюр и педикюр, Косметологическая клиника",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://n237575.yclients.com/ https://yc.gl/book/233775/?rwg_token=AFd1xnFXEjfnxhjXp-O5YOTo5DMj_-uceoYn8-d4fKF4hohPwd1iQ6omuHluEzzbVWZb1WmJirwijYk1n5XxZ_3Ndhferp1aAYlT7Ih6K9UHIBrixkXm4Os%3D,салоны красоты Новосибирск
"Jam, Сеть салонов красоты",+7 383 292-15-07,http://jam-salon.ru/,"ул. Петухова, 122А, Новосибирск, Новосибирская обл., Россия, 630119",Новосибирск,4.7,151,"Салон красоты, Парикмахерская, Маникюр и педикюр",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,,салоны красоты Новосибирск
"New face | Салон красоты Новосибирск | Маникюр, косметолог, коррекция бровей",+7 383 292-96-14,,"Красный пр-т., 220 корпус 10, 1 этаж; центр Атлетика, Новосибирск, Новосибирская обл., Россия, 630049",Новосибирск,4.8,28,"Салон красоты, Депиляция, Визажист, Массажист, Маникюр и педикюр, Солярий, Учебный центр, Восковая депиляция",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,,салоны красоты Новосибирск
Redken Loft Z,+7 383 221-21-43,http://www.loft-z.ru/,"ул. Челюскинцев, 15А, Новосибирск, Новосибирская обл., Россия, 630004",Новосибирск,4.9,115,Салон красоты,четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,https://yc.gl/book/24087/?rwg_token=AFd1xnHl8ZBXak7eV2sR0It5zBH4O0RvjOIX5m0_7ZDQ4-1DyAO7QALADjbsEwwYfGtprpWzXS9Fto6n3bEpyx86k3PUtd-9TuWPYL1NizAQUeyr6oNdG0Q%3D,салоны красоты Новосибирск
SHIKStudio,+7 913 397-98-89,https://shikbeauty.ru/,"ул. Московская, 77, Новосибирск, Новосибирская обл., Россия, 630008",Новосибирск,4.9,116,"Салон красоты, Парикмахер, Школа красоты, Визажист, Массажист, Маникюр и педикюр, Косметологическая клиника",четверг: 09:00–21:00 | пятница: 09:00–21:00 | суббота: 09:00–21:00 | воскресенье: 09:00–21:00 | понедельник: 09:00–21:00 | вторник: 09:00–21:00 | среда: 09:00–21:00,https://yc.gl/book/151459/?rwg_token=AFd1xnHlzKeJkfjBGve9h-eqbfuiXTWKRs18dyIPTNYU7V1V0OZHFvZP8cVpIQE63aQ7sg4jyzv3pgcgis7tpmJxzWRlabtvCeCH86Qz5XpLZr_AqNCPVgM%3D,салоны красоты Новосибирск
Гламур,+7 383 344-44-12,https://dikidi.net/498199,"ул. Станиславского, 10, Новосибирск, Новосибирская обл., Россия, 630054",Новосибирск,4.8,65,"Салон красоты, Косметолог-эстетист, Парикмахерская, Массажист, Маникюр и педикюр",четверг: 10:00–21:00 | пятница: 10:00–21:00 | суббота: 10:00–21:00 | воскресенье: 10:00–21:00 | понедельник: 10:00–21:00 | вторник: 10:00–21:00 | среда: 10:00–21:00,,салоны красоты Новосибирск
Адажио,+7 383 351-10-05,,"Новосибирск 60, Новосибирск, Новосибирская обл., Россия, 630032",Новосибирск,4.7,117,"Салон красоты, Парикмахерская, Услуги электроэпиляции, Лазерная эпиляция, Спа-массаж, Маникюр и педикюр",четверг: 09:00–20:00 | пятница: 09:00–20:00 | суббота: 09:00–20:00 | воскресенье: 09:00–20:00 | понедельник: 09:00–20:00 | вторник: 09:00–20:00 | среда: 09:00–20:00,,салоны красоты Новосибирск
"Соланж, студия красоты",+7 383 286-57-06,,"ул. Семьи Шамшиных, 30, Новосибирск, Новосибирская обл., Россия, 630099",Новосибирск,5,11,Салон красоты,четверг: 10:00–20:00 | пятница: 10:00–20:00 | суббота: 10:00–19:00 | воскресенье: 10:00–19:00 | понедельник: 10:00–20:00 | вторник: 10:00–20:00 | среда: 10:00–20:00,,салоны красоты Новосибирск
